#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP014692.1	469	1473	+	-	-	A0U92_RS00010	WP_077811435.1	334	nucleoside-diphosphate sugar epimerase
chr	NZ_CP014692.1	1470	2456	+	-	-	A0U92_RS00015	WP_077811436.1	328	glycosyltransferase
chr	NZ_CP014692.1	2391	3755	-	-	-	A0U92_RS00020	WP_077811437.1	454	lipopolysaccharide biosynthesis protein
chr	NZ_CP014692.1	4225	4635	+	-	-	A0U92_RS00025	WP_077811438.1	136	hypothetical protein
chr	NZ_CP014692.1	4635	5297	+	-	-	A0U92_RS00030	WP_077811439.1	220	twin-arginine translocase subunit TatB
chr	NZ_CP014692.1	5294	6106	+	-	-	A0U92_RS00035	WP_077811440.1	270	twin-arginine translocase subunit TatC
chr	NZ_CP014692.1	6106	7482	+	-	-	A0U92_RS00040	WP_077811441.1	458	serine--tRNA ligase
chr	NZ_CP014692.1	7609	8538	-	-	-	A0U92_RS00045	WP_077811442.1	309	GAF domain-containing protein
chr	NZ_CP014692.1	8730	9695	+	-	-	A0U92_RS00050	WP_077811443.1	321	thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha
chr	NZ_CP014692.1	9722	10750	+	-	-	A0U92_RS00055	WP_077811444.1	342	alpha-ketoacid dehydrogenase subunit beta
chr	NZ_CP014692.1	10754	11878	+	-	-	A0U92_RS00060	WP_077811445.1	374	acetoin dehydrogenase dihydrolipoyllysine-residue acetyltransferase subunit
chr	NZ_CP014692.1	12377	13180	+	-	-	A0U92_RS00065	WP_077814159.1	267	glucose 1-dehydrogenase
chr	NZ_CP014692.1	13173	14441	+	-	-	A0U92_RS00070	WP_077811446.1	422	sugar isomerase
chr	NZ_CP014692.1	14639	15610	-	-	-	A0U92_RS00075	WP_077811447.1	323	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
chr	NZ_CP014692.1	15671	16786	+	-	-	A0U92_RS00080	WP_077811448.1	371	low specificity L-threonine aldolase
chr	NZ_CP014692.1	17182	17481	+	-	-	A0U92_RS00085	WP_077811449.1	99	hypothetical protein
chr	NZ_CP014692.1	17923	18270	-	-	-	A0U92_RS00090	WP_077811450.1	115	ArsC family reductase
chr	NZ_CP014692.1	18356	19168	-	-	-	A0U92_RS00095	WP_077811451.1	270	chondroitin 4-O-sulfotransferase
chr	NZ_CP014692.1	19213	19938	-	-	-	A0U92_RS00100	WP_077811452.1	241	glycosyltransferase family 25 protein
chr	NZ_CP014692.1	20336	20710	-	-	-	A0U92_RS00105	WP_077811453.1	124	DUF3597 domain-containing protein
chr	NZ_CP014692.1	20791	22092	-	-	-	A0U92_RS00110	WP_077811454.1	433	adenosylhomocysteinase
chr	NZ_CP014692.1	22244	22459	+	-	-	A0U92_RS00115	WP_077811455.1	71	hypothetical protein
chr	NZ_CP014692.1	22466	23164	+	-	-	A0U92_RS00120	WP_077811456.1	232	helix-turn-helix transcriptional regulator
chr	NZ_CP014692.1	23270	24529	-	-	-	A0U92_RS00125	WP_077811457.1	419	3-phosphoshikimate 1-carboxyvinyltransferase
chr	NZ_CP014692.1	24759	25448	+	-	-	A0U92_RS00130	WP_077811458.1	229	hypothetical protein
chr	NZ_CP014692.1	25511	26542	-	-	-	A0U92_RS00135	WP_077814160.1	343	recombinase RecA
chr	NZ_CP014692.1	26855	27082	-	-	-	A0U92_RS00140	WP_077811459.1	75	hypothetical protein
chr	NZ_CP014692.1	27297	27821	-	-	-	A0U92_RS00145	WP_077811460.1	174	inorganic diphosphatase
chr	NZ_CP014692.1	28124	29803	+	-	-	A0U92_RS00155	WP_077811461.1	559	energy-dependent translational throttle protein EttA
chr	NZ_CP014692.1	30118	30663	+	-	-	A0U92_RS00160	WP_077811462.1	181	GNAT family N-acetyltransferase
chr	NZ_CP014692.1	30905	31276	+	-	-	A0U92_RS00165	WP_077811463.1	123	PhzF family phenazine biosynthesis protein
chr	NZ_CP014692.1	31813	33765	+	-	-	A0U92_RS00175	WP_077811464.1	650	alpha/beta hydrolase
chr	NZ_CP014692.1	33765	34754	+	-	-	A0U92_RS00180	WP_077811465.1	329	DUF4105 domain-containing protein
chr	NZ_CP014692.1	34947	37382	+	-	-	A0U92_RS00185	WP_077811466.1	811	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family
chr	NZ_CP014692.1	37609	37923	-	-	-	A0U92_RS00190	WP_077811467.1	104	hypothetical protein
chr	NZ_CP014692.1	38426	39355	-	-	-	A0U92_RS00195	WP_077811468.1	309	nucleoside hydrolase
chr	NZ_CP014692.1	40148	40498	+	-	-	A0U92_RS00200	WP_077811469.1	116	RidA family protein
chr	NZ_CP014692.1	40606	41589	-	-	-	A0U92_RS00205	WP_077811470.1	327	oxidoreductase
chr	NZ_CP014692.1	41762	42196	-	-	-	A0U92_RS00210	WP_077811471.1	144	CHRD domain-containing protein
